2025-12-30 16:21:09,071 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=0.52
2025-12-30 16:21:09,138 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=0.76
2025-12-30 16:21:09,251 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=0.78
2025-12-30 16:21:09,329 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=1.02
2025-12-30 16:21:09,418 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=1.06
2025-12-30 16:21:09,483 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=1.53
2025-12-30 16:21:09,564 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=1.62
2025-12-30 16:21:09,647 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=2.06
2025-12-30 16:21:09,748 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=2.25
2025-12-30 16:21:09,843 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=3.12
2025-12-30 16:21:09,935 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=3.5
2025-12-30 16:21:10,024 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=4.25
2025-12-30 16:21:10,105 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=5.0
2025-12-30 16:21:10,196 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=6.5
2025-12-30 16:21:10,290 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=8.0
2025-12-30 16:21:10,372 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=9.0
2025-12-30 16:21:10,500 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=12.0
2025-12-30 16:21:10,616 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=14.0
2025-12-30 16:21:10,718 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=20.0
2025-12-30 16:21:10,816 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=24.0
2025-12-30 16:21:10,911 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=28.0
2025-12-30 16:21:11,027 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=32.0
2025-12-30 16:21:11,119 [INFO] memory_bandwidth=400, global_buffer_bandwidth=684, buffer_size=40.0
2025-12-30 16:21:11,202 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=0.38
2025-12-30 16:21:11,286 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=0.52
2025-12-30 16:21:11,398 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=0.76
2025-12-30 16:21:11,497 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=0.78
2025-12-30 16:21:11,531 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=1.02
2025-12-30 16:21:11,626 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=1.06
2025-12-30 16:21:11,717 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=1.53
2025-12-30 16:21:11,808 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=1.62
2025-12-30 16:21:11,916 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=2.06
2025-12-30 16:21:11,998 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=2.25
2025-12-30 16:21:12,089 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=3.12
2025-12-30 16:21:12,203 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=3.5
2025-12-30 16:21:12,311 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=4.25
2025-12-30 16:21:12,439 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=5.0
2025-12-30 16:21:12,545 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=6.5
2025-12-30 16:21:12,660 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=8.0
2025-12-30 16:21:12,780 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=9.0
2025-12-30 16:21:12,905 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=12.0
2025-12-30 16:21:13,007 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=14.0
2025-12-30 16:21:13,123 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=20.0
2025-12-30 16:21:13,232 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=24.0
2025-12-30 16:21:13,347 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=28.0
2025-12-30 16:21:13,455 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=32.0
2025-12-30 16:21:13,549 [INFO] memory_bandwidth=400, global_buffer_bandwidth=797, buffer_size=40.0
2025-12-30 16:21:13,651 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=0.38
2025-12-30 16:21:13,777 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=0.52
2025-12-30 16:21:13,865 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=0.76
2025-12-30 16:21:13,987 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=0.78
2025-12-30 16:21:14,090 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=1.02
2025-12-30 16:21:14,246 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=1.06
2025-12-30 16:21:14,382 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=1.53
2025-12-30 16:21:14,475 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=1.62
2025-12-30 16:21:14,581 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=2.06
2025-12-30 16:21:14,660 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=2.25
2025-12-30 16:21:14,770 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=3.12
2025-12-30 16:21:14,852 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=3.5
2025-12-30 16:21:14,959 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=4.25
2025-12-30 16:21:15,061 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=5.0
2025-12-30 16:21:15,185 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=6.5
2025-12-30 16:21:15,296 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=8.0
2025-12-30 16:21:15,412 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=9.0
2025-12-30 16:21:15,589 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=12.0
2025-12-30 16:21:15,754 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=14.0
2025-12-30 16:21:15,886 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=20.0
2025-12-30 16:21:16,044 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=24.0
2025-12-30 16:21:16,191 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=28.0
2025-12-30 16:21:16,336 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=32.0
2025-12-30 16:21:16,486 [INFO] memory_bandwidth=400, global_buffer_bandwidth=909, buffer_size=40.0
2025-12-30 16:21:16,610 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=0.38
2025-12-30 16:21:16,757 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=0.52
2025-12-30 16:21:16,899 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=0.76
2025-12-30 16:21:17,045 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=0.78
2025-12-30 16:21:17,176 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=1.02
2025-12-30 16:21:17,325 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=1.06
2025-12-30 16:21:17,474 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=1.53
2025-12-30 16:21:17,596 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=1.62
2025-12-30 16:21:17,686 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=2.06
2025-12-30 16:21:17,818 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=2.25
2025-12-30 16:21:17,949 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=3.12
2025-12-30 16:21:18,079 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=3.5
2025-12-30 16:21:18,208 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=4.25
2025-12-30 16:21:18,326 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=5.0
2025-12-30 16:21:18,437 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=6.5
2025-12-30 16:21:18,564 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=8.0
2025-12-30 16:21:18,670 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=9.0
2025-12-30 16:21:18,771 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=12.0
2025-12-30 16:21:18,903 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=14.0
2025-12-30 16:21:18,985 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=20.0
2025-12-30 16:21:19,133 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=24.0
2025-12-30 16:21:19,253 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=28.0
2025-12-30 16:21:19,372 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=32.0
2025-12-30 16:21:19,493 [INFO] memory_bandwidth=400, global_buffer_bandwidth=1022, buffer_size=40.0
2025-12-30 16:21:19,603 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=0.38
2025-12-30 16:21:19,729 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=0.52
2025-12-30 16:21:19,854 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=0.76
2025-12-30 16:21:19,987 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=0.78
2025-12-30 16:21:20,108 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=1.02
2025-12-30 16:21:20,236 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=1.06
2025-12-30 16:21:20,368 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=1.53
2025-12-30 16:21:20,496 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=1.62
2025-12-30 16:21:20,672 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=2.06
2025-12-30 16:21:20,824 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=2.25
2025-12-30 16:21:20,973 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=3.12
2025-12-30 16:21:21,123 [INFO] memory_bandwidth=800, global_buffer_bandwidth=10, buffer_size=3.5
